tipo_documento,documento,nombre,producto,poliza,periodo,valor_asegurado,valor_prima,doc_cobro,fecha_ini,fecha_fin,dias,telefono_1,telefono_2,telefono_3,ciudad,departamento,fecha_venta,fecha_nacimiento,tipo_trans,beneficiarios,genero,sucursal,tipo_cuenta,ultimos_digitos_cuenta,entidad_bancaria,nombre_banco,estado_debito,causal_rechazo,codigo_canal,descripcion_canal,codigo_estrategia,tipo_estrategia,correo_electronico,fecha_entrega_colmena,mes_a_trabajar,id,nombre_db,telefono,whatsapp,texto,email,fisica,mejor_canal,contactar_al
TI,13346515,Myriam Marlene García García,VIDA0,POL7383,2,16981355,321812,DOC3006,2025-05-28,,261,3473262653,3870069135,3321370415,Solano,Vaupés,2024-10-20,1991-10-20,001,Alexander Héctor Rojas,F,"Moreno, Ardila and Gutiérrez",,6983,Bcol,Banco Central,ERR,,,,,,,2025-05-29,05,,Arcchivo nada que ver.txt,,,,1,,email,
TI,69595805,Francisco Rafael Pabón Restrepo,HOGAR,4POL9235,5,43269592,175705,DOC6988,2023-12-18,,49,3048483069,3131001671,3273820405,Gualmatán,Norte de Santander,2024-09-01,1994-05-11,003,Alba Rodríguez Cardona,F,Herrera and Sons,,3714,BPOP,Banco Principal,PEND,,,,,,,2025-05-29,05,,Arcchivo nada que ver.txt,,,,1,,email,
CC,78744496,Camila Carmen Vásquez,AUTO1,POL5007,3,33324031,402248,DOC8722,2023-07-26,,305,3042156091,3336618491,3806432367,Guatapé,Meta,2023-11-12,1975-10-10,003,Luis Antonio Castillo,M,Beltrán-Sánchez,,6226,BPOP,Banco Central,PEND,,,,,,,2025-05-29,05,,Arcchivo nada que ver.txt,,,,1,1,email,
CE,98991519,Emilce Sarmiento García,VIDA8,POL3990,7,46055874,748098,DOC6065,2024-11-19,,117,3221472737,3298568320,3135483669,Algarrobo,Cauca,2024-08-11,1984-01-17,002,Gladys Bernal,F,Valencia-López,,7925,Bcol,Banco del Norte,OK,,,,,,,2025-05-29,05,,Arcchivo nada que ver.txt,,,,1,,email,
CE,39444486,Katherine Orozco Sanabria,AUTO0,POL1714,4,8429717,398980,DOC9245,2025-07-31,,258,3126971684,3770377979,3852631438,San Jacinto,Magdalena,2024-04-20,1982-06-01,002,José Iván Martínez,M,"Silva, Valencia and Gutiérrez",,4692,Davv,Banco del Norte,PEND,,,,,,,2025-05-29,05,,Arcchivo nada que ver.txt,,,,,1,fisica,
CC,82175692,Fredy Martínez Orozco,AUTO5,POL1887,1,16159295,569770,DOC4051,2024-12-09,,163,3787502640,3116068355,3584521289,Pueblo Nuevo,Caquetá,2025-04-15,1971-06-20,001,Isabel Carrillo,M,Cruz Ltd,,2858,AVVl,Banco Central,OK,,,,,,,2025-05-29,05,,Arcchivo nada que ver.txt,,,,1,,email,
CE,34070219,Yamile Suárez,HOGAR,1POL6981,7,5532147,85934,DOC6524,2023-04-15,,309,3035531031,3866544683,3895838613,San Pedro de Cartago,Guainía,2024-04-22,1999-01-13,003,Yenny Alix Castaño Restrepo,M,Vásquez Ltd,,1797,AVVl,Banco Principal,OK,,,,,,,2025-05-29,05,,Arcchivo nada que ver.txt,1,,,,,telefono,3035531031
TI,40707212,Carolina Lina Cortés,DENT8,POL9851,4,17579576,663937,DOC4331,2025-01-18,,262,3956046695,3784740708,3731056364,Chalán,Magdalena,2024-10-07,1974-05-10,002,Leidy Julieth Reyes,F,"Cardona, Duarte and Díaz",,2850,Bcol,Banco Central,PEND,,,,,,,2025-05-29,05,,Arcchivo nada que ver.txt,,,,1,1,email,
CE,86671614,Angie Mery Ayala Rivera,SALU0,POL7338,6,32970297,535079,DOC3276,2025-02-20,,33,3556999629,3768812755,3029614115,Silos,Valle del Cauca,2025-03-08,1991-01-13,002,Camilo Antonio García Pérez,F,Carvajal Inc,,2118,Davv,Banco Principal,OK,,,,,,,2025-05-29,05,,Arcchivo nada que ver.txt,1,,,,,telefono,3556999629
CE,92435695,Ruth Díaz,HOGAR,2POL1219,2,10797507,668620,DOC6985,2023-05-13,,268,3976947738,3634088237,3435780402,Santa María,Atlántico,2025-08-02,1994-08-13,002,Eduar Sanabria,F,Moreno-Martínez,,9943,Davv,Banco del Norte,OK,,,,,,,2025-05-29,05,,Arcchivo nada que ver.txt,,,,,1,fisica,
TI,67237842,Marta Gutiérrez Cuéllar,AUTO1,POL7110,3,20232684,304087,DOC6858,2024-01-21,,303,3067282004,3023800720,3001228594,Linares,Huila,2023-08-17,1990-01-12,003,Efrain Lorenzo Sánchez Londoño,M,"González, Rivera and Guzmán",,5036,Bcol,Banco del Norte,OK,,,,,,,2025-05-29,05,,Arcchivo nada que ver.txt,1,,,,,telefono,3067282004
CE,82723431,Nubia Clemencia Miranda,HOGAR,2POL9276,6,44702382,151210,DOC4904,2023-01-24,,315,3215167435,3487199728,3278478369,Santa Sofía,San Andrés y Providencia,2025-06-24,1992-03-16,001,Aníbal Montoya Orozco,M,Rivera-González,,6132,BBVA,Banco del Norte,OK,,,,,,,2025-05-29,05,,Arcchivo nada que ver.txt,,1,1,,,texto,3215167435
CE,78296625,William Cristian Fernández,AUTO5,POL3538,1,29883371,601435,DOC5942,2024-04-02,,30,3652462935,3132127923,3504365541,Valle de San Juan,Casanare,2025-07-25,1974-12-23,003,Marisol Maldonado Barreto,M,"Blanco, Morales and González",,1968,BPOP,Banco del Norte,PEND,,,,,,,2025-05-29,05,,Arcchivo nada que ver.txt,,,,,1,fisica,
CC,59279142,Juan Alejandro Ojeda,DENT9,POL7290,4,10175368,664320,DOC6078,2024-01-24,,191,3255709254,3858715001,3398547417,Concepción,Santander,2023-07-28,2000-03-10,003,María Victoria Galvis Mosquera,M,"Suárez, Díaz and López",,1492,FNA,Banco del Norte,PEND,,,,,,,2025-05-29,05,,Arcchivo nada que ver.txt,,,,1,1,email,
TI,36028288,Fernando Martínez,SALU8,POL2854,3,28483899,241818,DOC9243,2024-07-29,,278,3311774426,3505197890,3611437829,Caucasia,Cesar,2023-05-12,1993-09-29,003,Rosa Sánchez,M,Uribe-Ávila,,5959,Bcol,Banco del Norte,PEND,,,,,,,2025-05-29,05,,Arcchivo nada que ver.txt,,,,,1,fisica,
CC,72794086,Augusto Becerra González,VIDA4,POL5746,7,19730103,321895,DOC7655,2024-02-27,,76,3485672980,3557456554,3659708105,Santander de Quilichao,Cauca,2023-03-23,1971-08-07,003,Adriana Jenny Manrique,F,Narváez-Medina,,3040,FNA,Banco Principal,ERR,,,,,,,2025-05-29,05,,Arcchivo nada que ver.txt,,,1,,,texto,3485672980
CC,47869772,María Sandra López,VIDA5,POL9000,7,17477082,790232,DOC1783,2023-11-06,,163,3377017537,3877915614,3196337705,Villavieja,Chocó,2024-08-17,1989-10-26,003,Laura Magnolia Sierra,M,Ocampo LLC,,3968,Davv,Banco del Norte,ERR,,,,,,,2025-05-29,05,,Arcchivo nada que ver.txt,,1,,,,whatsapp,3377017537
CC,88797275,Claudia Espitia Ochoa,SALU2,POL7916,6,32013236,397858,DOC9521,2025-07-19,,150,3934112968,3709804544,3471382364,Armero,Boyacá,2023-05-17,1991-03-09,002,Jesús Vargas,F,Cortés-Cortés,,3425,Davv,Banco del Norte,OK,,,,,,,2025-05-29,05,,Arcchivo nada que ver.txt,,1,1,,,texto,3934112968
CE,10509916,Fernando Jiménez,VIDA1,POL2342,4,13300032,175456,DOC4093,2024-04-07,,38,3521805776,3036634816,3459441483,Coromoro,La Guajira,2023-11-27,1985-06-28,002,Claudia Alicia Sánchez Fuentes,M,"Silva, Galvis and Hurtado",,5400,AVVl,Banco del Norte,OK,,,,,,,2025-05-29,05,,Arcchivo nada que ver.txt,,,1,,,texto,3521805776
TI,69169084,Cecilia Acosta Ballesteros,AUTO7,POL9088,5,15862378,626229,DOC4808,2024-12-04,,44,3163993347,3552460650,3129842884,Usiacurí,Putumayo,2024-10-23,1990-07-24,002,Ángel Díaz,F,"González, Ospina and Rodríguez",,3427,Bcol,Banco Principal,OK,,,,,,,2025-05-29,05,,Arcchivo nada que ver.txt,,,1,,,texto,3163993347
CE,14688781,Dahiana Sofía Castro,DENT5,POL8561,8,15833610,276377,DOC1426,2023-06-09,,128,3248245336,3541689105,3486868825,Choachí,Magdalena,2024-04-10,1995-02-07,003,María Rentería Guzmán,F,Pérez LLC,,1620,AVVl,Banco del Norte,PEND,,,,,,,2025-05-29,05,,Arcchivo nada que ver.txt,,1,1,,,texto,3248245336
CC,14305015,Ferney Londoño,SALU4,POL4577,1,37291299,506519,DOC4465,2023-09-28,,249,3209550990,3128687910,3152741501,San Eduardo,La Guajira,2024-02-13,1973-08-07,002,Helena Flor Pacheco,M,Parra Inc,,9708,AVVl,Banco del Norte,ERR,,,,,,,2025-05-29,05,,Arcchivo nada que ver.txt,,1,,,,whatsapp,3209550990
TI,33092946,Brandon Edwin Hernández,VIDA6,POL3221,3,8898246,555776,DOC1377,2023-04-21,,49,3864088616,3077531545,3150193271,Riohacha,Cesar,2023-06-10,1987-04-26,003,Doris Agudelo Hernández,M,"Medina, Quintero and Martínez",,8359,Bcol,Banco del Norte,ERR,,,,,,,2025-05-29,05,,Arcchivo nada que ver.txt,,,,1,,email,
CC,93701881,Alcides Jesús Romero,HOGAR,0POL1389,8,23526539,146207,DOC5113,2024-07-06,,49,3520016013,3120921941,3350029707,Zaragoza,Boyacá,2025-06-20,2007-08-25,001,Eugenia Arango Aguilar,M,"Cruz, Muñoz and Valencia",,2268,Bcol,Banco Principal,ERR,,,,,,,2025-05-29,05,,Arcchivo nada que ver.txt,,,1,,,texto,3520016013
