tipo_documento,documento,nombre,producto,poliza,periodo,valor_asegurado,valor_prima,doc_cobro,fecha_ini,fecha_fin,dias,telefono_1,telefono_2,telefono_3,ciudad,departamento,fecha_venta,fecha_nacimiento,tipo_trans,beneficiarios,genero,sucursal,tipo_cuenta,ultimos_digitos_cuenta,entidad_bancaria,nombre_banco,estado_debito,causal_rechazo,codigo_canal,descripcion_canal,codigo_estrategia,tipo_estrategia,correo_electronico,fecha_entrega_colmena,mes_a_trabajar,id,nombre_db,telefono,whatsapp,texto,email,fisica,mejor_canal,contactar_al
,1033345678,JUAN PEREZ GÓMEZ,VIDA,,P,OL-0001,,10000000.00,120000.50,,,,,,3001234567,,,,,,B,OGOTA,,CUNDINAMARCA,,,,,,,,,,2024-12-31,12,,PRUEBA_20250910.txt,1,,1,1,,texto,
,990112233,CAMILA SONIA CONTRERAS,SALUD,,P,OL-0002,,5000000,45000,,,,,,3150001111,,,,,,M,EDELLIN,,ANTIOQUIA,,,,,,,,,,2024-12-31,12,,PRUEBA_20250910.txt,1,,,,,telefono,
,1234567890,MARIO ALFONSO ÑUÑEZ,HOGAR,,P,OL-0003,,80000000,90000.99,,,,,,,3022223333,,,,,C,ALI,,VALLE,,,,,,,,,,2024-12-31,12,,PRUEBA_20250910.txt,,1,,,,whatsapp,
,987654321,LAURA OSPINA,VIDA,,P,OL-0004,,15000000,0,,,,,,,,6015556677,,,,B,ARRANQUILLA,,ATLANTICO,,,,,,,,,,2024-12-31,12,,PRUEBA_20250910.txt,,,,1,,email,
,555666777,PEDRO CABRERA,VIDA,,P,OL-0005,,25000000,130000,,,,,,,,,,,,B,UCARAMANGA,,SANTANDER,,,,,,,,,,2024-12-31,12,,PRUEBA_20250910.txt,1,,,,,telefono,
,111222333,SARA VEGA,HOGAR,,P,OL-0006,,9000000,60000,,,,,,,,,,,,M,ANIZALES,,CALDAS,,,,,,,,,,2024-12-31,12,,PRUEBA_20250910.txt,,,,1,,email,
,900123456,EMPRESA XYZ S.A.S.,COLEC,TIVO,P,OL-0007,,999999999.99,8888888.88,,,,,,6011111111,,,,,,B,OGOTA,,CUNDINAMARCA,,,,,,,,,,2024-12-31,12,,PRUEBA_20250910.txt,,,1,,1,texto,
,444555666,ANDREA ÁLVAREZ,VIDA,,P,OL-0008,,12345678,1234.56,,,,,,3007654321,,,,,,I,BAGUÉ,,TOLIMA,,,,,,,,,,2024-12-31,12,,PRUEBA_20250910.txt,1,1,1,1,1,texto,
,222333444,OSCAR BELTRÁN,SALUD,,P,OL-0009,,4567890,23456.78,,,,,,3200000000,,,,,,C,ARTAGENA,,BOLIVAR,,,,,,,,,,2024-12-31,12,,PRUEBA_20250910.txt,1,,,,,telefono,
,777888999,NOMBRE MUY MUY LARGO PARA PROBAR TRUNCADO EN CAMPO NOMBRE QUE TIENE CIEN CARACTERES POSIBLES XXXXX X,VIDA,,P,OL-0010,,1000,10.50,,,,,,,,,,,,P,ASTO,,NARIÑO,,,,,,,,,,2024-12-31,12,,PRUEBA_20250910.txt,,,,1,,email,
,1010101010,PAULA MESA,HOGAR,,P,OL-0011,,700000,45000,,,,,,311 555 8888,,,,,,N,EIVA,,HUILA,,,,,,,,,,2024-12-31,12,,PRUEBA_20250910.txt,,1,,,,whatsapp,
,2020202020,ROBERTO SUAREZ,VIDA,,P,OL-0012,,1230000,9900,,,,,,3009990000,,,,,,M,ONTERIA,,CORDOBA,,,,,,,,,,2024-12-31,12,,PRUEBA_20250910.txt,,,,1,,email,
,3030303030,EDAD LIMITE DIECIOCHO,VIDA,,P,OL-0013,,2222222,33333,,,,,,,,,,,,T,UNJA,,BOYACA,,,,,,,,,,2024-12-31,12,,PRUEBA_20250910.txt,,,1,,,texto,
,4040404040,SIN PREFERENCIA,VIDA,,P,OL-0014,,0,0,,,,,,,,,,,,V,ILLAVICENCIO,,META,,,,,,,,,,2024-12-31,12,,PRUEBA_20250910.txt,,,,,,texto,
,5050505050,CARTAS FISICAS,HOGAR,,P,OL-0015,,123,45.67,,,,,,,,,,,,P,EREIRA,,RISARALDA,,,,,,,,,,2024-12-31,12,,PRUEBA_20250910.txt,,,,,1,fisica,
