tipo_documento,documento,nombre,producto,poliza,periodo,valor_asegurado,valor_prima,doc_cobro,fecha_ini,fecha_fin,dias,telefono_1,telefono_2,telefono_3,ciudad,departamento,fecha_venta,fecha_nacimiento,tipo_trans,beneficiarios,genero,sucursal,tipo_cuenta,ultimos_digitos_cuenta,entidad_bancaria,nombre_banco,estado_debito,causal_rechazo,codigo_canal,descripcion_canal,codigo_estrategia,tipo_estrategia,correo_electronico,fecha_entrega_colmena,mes_a_trabajar,id,nombre_db,telefono,whatsapp,texto,email,fisica,mejor_canal,contactar_al
CE,61481373,Luz Mónica Arévalo Martínez,HOGAR,8POL4644,8,19867897,497462,DOC9084,2023-03-12,,134,3514366797,3941577731,3148914712,Guachetá,Córdoba,2025-03-28,2007-11-01,001,Alonso Jesús Mendoza Córdoba,F,"Pedraza, Ramírez and Díaz",,5623,Bcol,Banco del Norte,ERR,,,,,,,2025-05-29,05,,clientes_mayo_20250529.txt,1,1,,,,telefono,3514366797
CE,74998359,Iván Henry Gil,AUTO9,POL2606,1,14914751,93251,DOC5128,2025-05-24,,64,3009392976,3657661076,3845263609,Purificación,Magdalena,2024-04-30,1978-08-05,002,Patricia González Giraldo,M,Muñoz-Bravo,,6504,Davv,Banco Central,ERR,,,,,,,2025-05-29,05,,clientes_mayo_20250529.txt,,,,,1,fisica,
CC,78737516,Paola Perea Fernández,HOGAR,8POL9265,3,16279353,511806,DOC6451,2025-07-22,,260,3481639681,3443926731,3804716620,Páez,Cundinamarca,2023-08-26,1992-02-15,001,Milena Torres Loaiza,M,García-Rueda,,1841,FNA,Banco Principal,PEND,,,,,,,2025-05-29,05,,clientes_mayo_20250529.txt,,,,1,1,email,
CE,29513325,Manuel Elver Ramírez Galvis,SALU6,POL2894,1,6977522,112016,DOC9629,2023-07-20,,188,3194613190,3761690858,3419745929,Cabrera,Huila,2024-09-10,1973-07-20,002,Andrés Jesús Acosta González,F,Peña-Ortiz,,1654,BPOP,Banco del Norte,PEND,,,,,,,2025-05-29,05,,clientes_mayo_20250529.txt,,,,,1,fisica,
CE,67703473,Jefferson José Castro Gallego,AUTO4,POL9998,1,25901885,663454,DOC2124,2023-02-05,,304,3755519354,3870665223,3756230150,Jamundí,Boyacá,2024-04-22,1991-01-11,002,Julián Alberto Delgado Gallego,F,"Mantilla, Rojas and Morales",,8979,BPOP,Banco del Norte,ERR,,,,,,,2025-05-29,05,,clientes_mayo_20250529.txt,1,,1,1,,texto,3755519354
CE,43476047,Daniel Arenas,HOGAR,8POL4572,6,11237967,495897,DOC3710,2025-04-06,,144,3857780261,3943892426,3993085537,Tibacuy,San Andrés y Providencia,2025-03-23,2007-01-02,002,María Gladys Molina Salazar,F,Pérez Ltd,,5555,Bcol,Banco Central,PEND,,,,,,,2025-05-29,05,,clientes_mayo_20250529.txt,,,1,,,texto,3857780261
CC,97567851,Diana Betancur Rodríguez,AUTO0,POL2038,2,27545420,538828,DOC9291,2024-05-20,,146,3905591259,3042154314,3552799975,Cravo Norte,Cauca,2023-03-27,1971-12-02,001,Patricia Sandra Pacheco,F,Castro-Pérez,,5716,BCS,Banco Central,PEND,,,,,,,2025-05-29,05,,clientes_mayo_20250529.txt,,,,,1,fisica,
TI,67204292,Dora Marín,AUTO5,POL3199,9,30518639,873833,DOC6526,2023-04-11,,89,3901943195,3166700028,3955519002,Labateca,Tolima,2024-10-09,1975-01-28,002,Paola Martínez Díaz,F,Pacheco Group,,8857,AVVl,Banco Central,ERR,,,,,,,2025-05-29,05,,clientes_mayo_20250529.txt,1,1,,,,telefono,3901943195
CE,26308865,Stiven Ramírez Guzmán,AUTO1,POL5606,2,27379064,702415,DOC3642,2023-02-18,,212,3676932067,3143729392,3992141607,Fúquene,Chocó,2024-07-28,1987-09-08,003,María Valeria Burbano Agudelo,M,Rodríguez-Gómez,,2095,Bcol,Banco Central,OK,,,,,,,2025-05-29,05,,clientes_mayo_20250529.txt,1,,1,1,,texto,3676932067
CC,99972990,Humberto Jhon Ríos Corredor,HOGAR,2POL3508,4,49163040,862343,DOC6055,2024-08-20,,185,3337587864,3787719753,3318685249,Cajamarca,Guaviare,2025-02-07,2007-09-16,001,Luis Elvis Correa,F,Bonilla Ltd,,1178,BCS,Banco Central,ERR,,,,,,,2025-05-29,05,,clientes_mayo_20250529.txt,,,,1,,email,
