tipo_documento,documento,nombre,producto,poliza,periodo,valor_asegurado,valor_prima,doc_cobro,fecha_ini,fecha_fin,dias,telefono_1,telefono_2,telefono_3,ciudad,departamento,fecha_venta,fecha_nacimiento,tipo_trans,beneficiarios,genero,sucursal,tipo_cuenta,ultimos_digitos_cuenta,entidad_bancaria,nombre_banco,estado_debito,causal_rechazo,codigo_canal,descripcion_canal,codigo_estrategia,tipo_estrategia,correo_electronico,fecha_entrega_colmena,mes_a_trabajar,id,nombre_db,telefono,whatsapp,texto,email,fisica,mejor_canal,contactar_al
CE,10174634,Uriel Alberto Arrieta Zapata,SALU7,POL1191,5,16211886,834067,DOC7499,2023-07-23,,283,3297102636,3182278049,3219655396,Risaralda,Cesar,2023-09-03,1992-08-15,002,Arturo Gregorio Cano,M,Barrera and Sons,,7372,BBVA,Banco del Norte,OK,,,,,,,2025-05-29,05,,PRUEBA_20250529.txt,,,,,1,fisica,
TI,55786154,Eduardo Álvaro Cardona Duarte,AUTO1,POL7219,1,27435402,256577,DOC3638,2023-05-04,,233,3819466608,3571389016,3354107548,Cerro de San Antonio,Huila,2025-01-01,2000-09-24,001,Fernando Roa,F,"Silva, Salcedo and Rivera",,5435,FNA,Banco Principal,ERR,,,,,,,2025-05-29,05,,PRUEBA_20250529.txt,,,,1,,email,
CC,25172065,Luis Cardozo Chacón,VIDA5,POL9551,7,45951270,163727,DOC3336,2025-08-01,,107,3262353611,3624623309,3443090640,Chita,Caldas,2023-02-02,1992-05-21,003,Liliana Ayala,M,López and Sons,,4046,BCS,Banco Central,ERR,,,,,,,2025-05-29,05,,PRUEBA_20250529.txt,,1,,,,whatsapp,3262353611
TI,18930443,Edwin Sandoval Rodríguez,AUTO3,POL2023,2,37285790,351428,DOC5286,2025-06-02,,158,3151521651,3166139282,3491744801,Astrea,Bolívar,2023-01-31,1989-01-22,001,Andrea Elvira Ojeda,M,"Estrada, Hernández and Trujillo",,9212,AVVl,Banco Central,PEND,,,,,,,2025-05-29,05,,PRUEBA_20250529.txt,,,1,,,texto,3151521651
TI,56201956,Maricela Sandra Rueda Bermúdez,HOGAR,4POL9399,6,9503264,514634,DOC4980,2025-02-09,,349,3718621123,3329037386,3218861367,Pijiño del Carmen,Cesar,2024-07-10,1999-06-07,002,Harold Díaz,M,Vargas-Valderrama,,2483,AVVl,Banco Principal,OK,,,,,,,2025-05-29,05,,PRUEBA_20250529.txt,,1,1,,,texto,3718621123
CE,77741661,Nubia Durán Cardona,DENT9,POL4888,5,16176144,374971,DOC6267,2025-08-01,,276,3167551033,3932241746,3421878462,Cácota,Amazonas,2023-10-04,2000-01-01,002,Cecilia Janneth Quintero Buitrago,F,"Londoño, Ardila and Mendoza",,4170,Davv,Banco Central,PEND,,,,,,,2025-05-29,05,,PRUEBA_20250529.txt,1,,1,1,,texto,3167551033
CC,65726278,Milena Orozco Moreno,VIDA2,POL4857,4,32001855,408609,DOC7414,2025-03-24,,238,3069308109,3594987544,3578625896,"Bogotá, D.C.",Vaupés,2024-03-16,1984-11-07,001,Mauricio Alcides Murcia,F,"Hernández, Ariza and Moreno",,1629,AVVl,Banco del Norte,ERR,,,,,,,2025-05-29,05,,PRUEBA_20250529.txt,,,,1,,email,
CC,84864699,Alberto James Ibarra Ramírez,HOGAR,3POL7611,8,8409789,274294,DOC2829,2024-10-16,,231,3984045910,3880349411,3105184514,Hatillo de Loba,Casanare,2024-03-28,1995-08-07,002,Claudia Angulo García,M,Herrera-Chaparro,,5163,FNA,Banco Central,ERR,,,,,,,2025-05-29,05,,PRUEBA_20250529.txt,,,,1,,email,
TI,13038968,Carlos Guerra,AUTO6,POL7722,7,25070220,329635,DOC9293,2025-03-19,,314,3696386847,3621400779,3999308002,Solita,Quindío,2023-08-14,2005-03-08,001,Daniel Marín,F,"Medina, Salazar and López",,5859,Bcol,Banco del Norte,ERR,,,,,,,2025-05-29,05,,PRUEBA_20250529.txt,,,,1,,email,
CE,78005745,Gloria Barragán,SALU4,POL3277,8,20307391,466544,DOC7050,2024-01-29,,232,3061825775,3594843949,3854454948,Sutamarchán,Caquetá,2024-04-15,2007-05-15,002,Germán Fredy Gómez,F,Montes LLC,,2041,FNA,Banco Central,ERR,,,,,,,2025-05-29,05,,PRUEBA_20250529.txt,,1,1,,,texto,3061825775
